name,team,battingStyle,bowlingStyle,playingRole,description
Rachin Ravindra,CSK,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,"A dynamic batter, who can slot in at the top as well as in the middle order, and bowl left-arm fingerspin, Rachin Ravindra was earmarked to become a future batting leader for New Zealand right from his Under-19 days."
Anrich Nortje,DC,Right hand Bat,Right arm Fast,Bowler,
Mitchell Marsh,DC,Right hand Bat,Right arm Medium,Allrounder,
Mustafizur Rahman,CSK,Left hand Bat,Left arm Fast medium,Bowler,"Mustafizur Rahman is a left-arm pace bowler who came to Dhaka to try out for a fast-bowling camp in 2012, after he had impressed in an Under-17 tournament in Satkhira, some 300km from Dhaka. He got admitted to the BCB's pace foundation and soon caught the coaches' attention to make the Bangladesh Under-19 side for the 2014 World Cup. "
Ramandeep Singh,KKR,Right hand Bat,Right arm Medium,Middle order Batter,
Ramandeep Singh,KKR,Right hand Bat,Right arm Medium,Middle order Batter,
Dushmantha Chameera,KKR,Right hand Bat,Right arm Fast,Bowler,"Tall, slim and slippery, Dushmantha Chameera arrived at NCC in 2012, and was quickly marked out as a bowler for the future. First among his virtues is pace, generated from a slightly round-arm action that sacrifices movement. Capable of consistently hitting speeds of over 140 kph, coaches believe he had become the quickest bowler in the country by 23. He had played only a handful of games in his first two seasons, but came into his own in NCC's 2013-14 championship run, claiming 32 first-class cricket at 21.18."
Ravindra Jadeja,CSK,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Shardul Thakur,CSK,Right hand Bat,Right arm Medium,Bowler,
Moeen Ali,CSK,Left hand Bat,Right arm Offbreak,Batting Allrounder,"Moeen Ali was tipped for the top long before he won his Test debut at the start of 2014. But, after building a reputation as an elegant batter, it was his offspin bowling that earned him the call-up when England were left reeling from the surprise retirement of Graeme Swann."
Matt Henry,LSG,Right hand Bat,Right arm Fast medium,Bowler,"A slippery fast bowler, Matt Henry almost didn't play for New Zealand, as he underwent a major back surgery in 2012. Two years later, though, he was called up as cover during the ODI series against India, and thanks to a niggle to fellow injury-prone Hamish Bennett, Henry put the black cap on and registered the third-best figures for a New Zealand debutant in ODIs, claiming four wickets to seal New Zealand's 4-0 series triumph."
Sumit Kumar,DC,Right hand Bat,Right arm Medium fast,Allrounder,
Sumit Kumar,DC,Right hand Bat,Right arm Medium fast,Allrounder,
David Warner,DC,Left hand Bat,Legbreak,Opening Batter,David Warner's extraordinary batting feats in all three formats for Australia will forever be overshadowed by his role as the chief protagonist of the Newlands ball-tampering scandal of 2018 and his place as a central figure in Australian cricket's ensuing cultural crisis.
Ricky Bhui,DC,Right hand Bat,Legbreak Googly,Top order Batter,"Ricky Bhui began his career with seven 30-plus scores, including three half-centuries, in his first nine innings at the Under-19 level in 2013. He was integrated into Andhra's Ranji Trophy side the same year."
Yudhvir Singh,LSG,Right hand Bat,Right arm Medium fast,Bowler,
Yudhvir Singh,LSG,Right hand Bat,Right arm Medium fast,Bowler,
Ashton Turner,LSG,Right hand Bat,Right arm Offbreak,Middle order Batter,"A tall and powerful right-hander, Ashton Turner clears the rope with deft placement, is a brilliant runner between the wickets, and has made a habit of chasing unlikely totals as a middle-order specialist in the BBL. "
Arshin Kulkarni,LSG,Right hand Bat,Right arm Medium,Allrounder,"Arshin Kulkarni idolised former South Africa allrounder Jacques Kallis growing up after switching to seam bowling from legspin - with which he had a hat-trick to show - on the advice of his coaches. He was only six years old when his grandmother enrolled him at a cricket academy in Solapur so that he wouldn't be bored after school. His grandmother, an avid cricket buff, supported him fully, including travelling to and from Pune, where he moved to in 2017 to further his cricketing pursuits."
Abdul Samad,SRH,Right hand Bat,Legbreak,Batter,
Anuj Rawat,RCB,Left hand Bat,,Wicketkeeper Batter,
Travis Head,SRH,Left hand Bat,Right arm Offbreak,Top order Batter,
Heinrich Klaasen,SRH,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Bhuvneshwar Kumar,SRH,Right hand Bat,Right arm Medium,Bowler,"At the time of his India debut in 2012, Bhuvneshwar Kumar seemed the answer to the side's fast-bowling scarcity; though middling in pace, he produced swing both ways and had a devastating inswinger. In his first T20I over, he bowled Nasir Jamshed; with his first ODI delivery, he bowled Mohammad Hafeez; and in his first Test series he played a part in India's first whitewash win in a four-Test series, against Australia in 2013.Â "
Mayank Markande,SRH,Right hand Bat,Legbreak,Bowler,
Abhishek Sharma,SRH,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,
Shahbaz Ahmed,SRH,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Shahbaz Ahmed was born in Mewat, Haryana, the most backward district in India according to a government report in 2018. He started as a batter, playing local cricket in and around Mewat, but the opportunities were limited. In 2015, he moved to Kolkata to try his luck in club cricket. That is where he developed his left-arm spin and transformed himself into an allrounder."
Jaydev Unadkat,SRH,Right hand Bat,Left arm Medium,Bowler,
T Natarajan,SRH,Left hand Bat,Left arm Medium,Bowler,
Aiden Markram,SRH,Right hand Bat,Right arm Offbreak,Allrounder,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. "
Abhishek Sharma,SRH,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,
Pat Cummins,SRH,Right hand Bat,Right arm Fast,Bowler,
Abhinav Manohar,GT,Right hand Bat,Legbreak Googly,Batting Allrounder,
Matthew Wade,GT,Left hand Bat,Right arm Medium,Wicketkeeper Batter,"It has been a career of reinvention for Matthew Wade, who went from Test wicketkeeper to specialist middle-order batter to T20I World Cup-winning wicketkeeper-finisher, via a prolific run in domestic cricket when it appeared his international days were over."
Pat Cummins(c),SRH,Right hand Bat,Right arm Fast,Bowler,
Nitish Kumar Reddy,SRH,Right hand Bat,Right arm Medium fast,Batting Allrounder,
Nitish Kumar Reddy,SRH,Right hand Bat,Right arm Medium fast,Batting Allrounder,
Anmolpreet Singh,SRH,Right hand Bat,Right arm Offbreak,Batter,
Tim David,MI,Right hand Bat,Right arm Offbreak,Middle order Batter,
Nehal Wadhera,MI,Left hand Bat,Legbreak,Top order Batter,
Piyush Chawla,MI,Left hand Bat,Legbreak,Bowling Allrounder,"Piyush Chawla is one for early impact. As a 15-year-old he represented India Under-19 and Uttar Pradesh U-22. Before he made his first-class debut, at 17, he had already bowled Sachin Tendulkar with a googly in a Challenger Series match. In his first first-class season, he took 35 wickets and scored 224 runs to help UP win their first Ranji Trophy. In his teens he played two Test matches too, against England and South Africa. He took three wickets on ODI debut in Bangladesh in 2007, and 14 during India's tour of Ireland and England the same year, often troubling Kevin Pietersen with the googlies and the straighter ones."
Naman Dhir,MI,Right hand Bat,Right arm Offbreak,Top order Batter,
Anshul Kamboj,MI,Right hand Bat,Right arm Medium,Allrounder,
Anshul Kamboj,MI,Right hand Bat,Right arm Medium,Allrounder,
Piyush Chawla,MI,Left hand Bat,Legbreak,Bowling Allrounder,"Piyush Chawla is one for early impact. As a 15-year-old he represented India Under-19 and Uttar Pradesh U-22. Before he made his first-class debut, at 17, he had already bowled Sachin Tendulkar with a googly in a Challenger Series match. In his first first-class season, he took 35 wickets and scored 224 runs to help UP win their first Ranji Trophy. In his teens he played two Test matches too, against England and South Africa. He took three wickets on ODI debut in Bangladesh in 2007, and 14 during India's tour of Ireland and England the same year, often troubling Kevin Pietersen with the googlies and the straighter ones."
Nuwan Thushara,MI,Right hand Bat,Right arm Medium fast,Bowler,
Nitish Rana,KKR,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter,
Dewald Brevis,MI,Right hand Bat,Legbreak,Batting Allrounder,
Nandre Burger,RR,Left hand Bat,Left arm Fast medium,Bowler,"An accidental cricketer, who had ambitions of playing on the ATP tour and then becoming a psychologist, Nandre Burger is an all-format left-arm quick, who swings the ball at pace. "
Kwena Maphaka,MI,Left hand Bat,Left arm Fast,Bowler,
Vijayakanth Viyaskanth,SRH,Right hand Bat,Legbreak,Bowler,"Legspinner Vijaykanth Viyaskanth first rose to prominence in December 2020, when he became the youngest player at 18 years and 364 days to feature in the Lanka Premier League for Jaffna Stallions. In that tournament, he also became the first born-and-bred player from Jaffna, in Sri Lanka's northern tip and once the epicentre of a three-decade-long civil war, to appear in an internationally televised game."
Krishnappa Gowtham,LSG,Right hand Bat,Right arm Offbreak,Bowling Allrounder,"An offspinning allrounder who was largely seen as a T20 specialist, K Gowtham changed his narrative in 2016 when he broke back into Karnataka's Ranji Trophy side and took 18 wickets in his first three matches. His consistency earned him a place with the India A team in 2017 and a gigantic pay-day in the 2018 IPL auction when he was bought by Rajasthan Royals for INR 6.2 crore (USD 968000 approx) Amid those highlights was a bit of controversy as well when he took leave from the Duleep Trophy in 2017, citing illness, and was found a few days a later playing in the Karnataka Premier League. The BCCI pulled him out of the squad to play New Zealand A for actions that were a ""gross insult to the system""."
Kumar Kushagra,DC,Right hand Bat,,Wicketkeeper Batter,
Lizaad Williams,DC,Left hand Bat,Right arm Medium fast,Bowler,
Lizaad Williams,DC,Left hand Bat,Right arm Medium fast,Bowler,
KL Rahul(c),LSG,Right hand Bat,,Wicketkeeper Batter,
Simarjeet Singh,CSK,Right hand Bat,Right arm Medium fast,Bowler,
Quinton de Kock,LSG,Left hand Bat,,Wicketkeeper Batter,
Mitchell Santner,CSK,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
Mitchell Santner,CSK,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
Abishek Porel,DC,Left hand Bat,,Wicketkeeper Batter,
Axar Patel(c),DC,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Lalit Yadav,DC,Right hand Bat,Right arm Offbreak,Allrounder,
Lalit Yadav,DC,Right hand Bat,Right arm Offbreak,Allrounder,
Jhye Richardson,DC,Right hand Bat,Right arm Fast,Bowler,"A small man with a whippy, fast arm action and an ability to swing the ball at speeds of 140kph, Jhye Richardson provides a different trajectory in all three formats but his international career has been badly impacted by injury. An impressive start was halted by a dislocated shoulder during an ODI against Pakistan in the UAE during 2019 and ruled him out of World Cup and Ashes contention with further injury setbacks hitting his progress over the following years."
Washington Sundar,SRH,Left hand Bat,Right arm Offbreak,Bowling Allrounder,
Jhye Richardson,DC,Right hand Bat,Right arm Fast,Bowler,"A small man with a whippy, fast arm action and an ability to swing the ball at speeds of 140kph, Jhye Richardson provides a different trajectory in all three formats but his international career has been badly impacted by injury. An impressive start was halted by a dislocated shoulder during an ODI against Pakistan in the UAE during 2019 and ruled him out of World Cup and Ashes contention with further injury setbacks hitting his progress over the following years."
Washington Sundar,SRH,Left hand Bat,Right arm Offbreak,Bowling Allrounder,
Kartik Tyagi,GT,Right hand Bat,Right arm Fast,Bowler,
Shams Mulani,MI,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Luke Wood,MI,Left hand Bat,Left arm Fast medium,Bowler,"Luke Wood, a left-arm fast bowler with the priceless ability to swing the ball back into right-handers, joined Lancashire at the end of the 2019 season in search of a more regular first-team place after spending time in and out of the Nottinghamshire side. "
Himanshu Sharma,RCB,Right hand Bat,Legbreak,Bowler,
Richard Gleeson,CSK,Right hand Bat,Right arm Fast medium,Bowler,"Richard Gleeson made his debut in international cricket at the age of 34 - and dismissed Rohit Sharma, Virat Kohli and Rishabh Pant within his first eight balls. It was the culmination of an extraordinary rise through the ranks: he was a late-bloomer, who made his first professional appearance aged 27 as a trialist at Northamptonshire, and had nearly quit the game altogether the previous winter due to injury."
Richard Gleeson,CSK,Right hand Bat,Right arm Fast medium,Bowler,"Richard Gleeson made his debut in international cricket at the age of 34 - and dismissed Rohit Sharma, Virat Kohli and Rishabh Pant within his first eight balls. It was the culmination of an extraordinary rise through the ranks: he was a late-bloomer, who made his first professional appearance aged 27 as a trialist at Northamptonshire, and had nearly quit the game altogether the previous winter due to injury."
Nathan Ellis,PBKS,Right hand Bat,Right arm Fast medium,Bowler,"Nathan Ellis has developed into one of Australia's leading T20 bowlers in a relatively short period of time. He is a short, skiddy quick with an excellent yorker and superb change of pace."
Tom Kohler-Cadmore,RR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,Tom Kohler-Cadmore had made a name for himself as a Wisden Schoolboy Cricketer of the Year and one of the most-talented young batsmen in the county game - but it was a court case involving a former team-mate that brought him unwanted attention from a wider audience. Revelations during the trial of Alex Hepburn about sexist messages exchanged on a WhatsApp group led to Kohler-Cadmore and Joe Clarke being stood down from Lions duty and threatened to overshadow the start of a promising career.
Mayank Agarawal,SRH,Right hand Bat,Right arm Offbreak,Batter,"A prolific opening batsman since his Under-13 days with Bishop Cotton Boys' School, Bangalore, Mayank Agarwal modelled his style of batting on Virender Sehwag. Agarwal struck 432 runs at an average of 54 in five matches in the Under-19 Cooch Behar Trophy in 2008-09 and hit a match-winning 160 for India Under-19s, in a one-dayer against Australia Under-19s in Hobart in 2009."
Umran Malik,SRH,Right hand Bat,Right arm Fast,Bowler,"Umran Malik burst onto the scene in 2021 when he clocked 150kph for Sunrisers Hyderabad on his IPL debut. A product of tennis-ball cricket, Malik did not even know there existed shoes with spikes for fast bowlers until he went for his first Under-19 trial. He had played just one List A match and one T20 when he joined SRH as a short-term Covid replacement for T Natarajan. He got his chance only after SRH were out of the race for the playoffs. He made an immediate impact and, despite playing just three games that season, was retained by SRH ahead of the IPL 2022 mega auction. "
Marco Jansen,SRH,Right hand Bat,Left arm Fast,Bowling Allrounder,"At 2.06 metres tall, Marco Jansen's height immediately marks him out as a fast bowler but he began his cricket career as a batter. Jansen's first coach was his father, Koos, who trained both him and his twin brother Duan in their home town of Potchefstroom. At the age of 17, the pair were picked to bowl to the touring Indian side in the nets and impressed the likes of Virat Kohli with his pace and accuracy. "
Rishi Dhawan,PBKS,Right hand Bat,Right arm Medium fast,Allrounder,"Rishi Dhawan graduated from being an opening batsman in junior cricket to a seam-bowling allrounder, who largely relies on slow variations and cutters. His domestic performances for Himachal Pradesh, a bulk of which came in seamer-friendly conditions in Dharamsala, earned him an ODI debut during the limited-overs series in Australia in January 2016."
Shams Mulani,MI,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Rahul Tripathi,SRH,Right hand Bat,Right arm Medium,Top order Batter,
Shivam Singh,PBKS,Right hand Bat,Right arm Offbreak,Allrounder,
Jitesh Sharma(c),PBKS,Right hand Bat,,Wicketkeeper Batter,
Sanvir Singh,SRH,Right hand Bat,Right arm Medium,Allrounder,
Mukesh Choudhary,CSK,Left hand Bat,Left arm Medium,Bowler,
Maheesh Theekshana,CSK,Right hand Bat,Right arm Offbreak,Bowler,
Suyash Sharma,KKR,Right hand Bat,Legbreak Googly,Bowler,
Arjun Tendulkar,MI,Left hand Bat,Left arm Medium fast,Bowler,
Manav Suthar,GT,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
Josh Little,GT,Right hand Bat,Left arm Fast medium,Bowler,"A bustling left-arm seamer from Dublin, Josh Little made an immediate impression on ODI debut against England in 2019 when he took 4 for 45 - including the wicket of Eoin Morgan with a sharp bouncer - to leave the world's No. 1-ranked side struggling in an ultimately successful run chase."
Manav Suthar,GT,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
Amit Mishra,LSG,Right hand Bat,Legbreak,Bowler,"When he burst onto the scene in the early 2000s, Amit Mishra impressed with his classical, attacking legspin, relying mostly on flight and a big legbreak, while surprising batsmen with the odd googly. However, with two giant spinners - Anil Kumble and Harbhajan Singh - at the peak of their powers, there wasn't a place available for him in India's squad."
Suyash Prabhudessai,RCB,Right hand Bat,Right arm Medium,Batting Allrounder,
Manish Pandey,KKR,Right hand Bat,Right arm Medium,Top order Batter,"Manish Pandey will always be remembered as the first Indian to score a century in the IPL. In one night, the 19-year-old went from being Karnataka's next big Ranji hope to entering the record books as he hit his way to the highest Twenty20 score by an Indian. That century also meant he would not have to carry out his intention of following his father into the army if he did not make it as a professional cricketer."
KL Rahul,LSG,Right hand Bat,,Wicketkeeper Batter,
Nicholas Pooran(c),LSG,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,
Rahmanullah Gurbaz,KKR,Right hand Bat,Right arm Medium,Wicketkeeper Batter,
